,ID,group,variable,value,condition
0,0,0,B2HF,0.0209592882724424,1
1,1,0,B2HF,0.000922752352702,1
2,2,1,B2HF,0.0118122564378092,1
3,4,0,B2HF,0.0044709954269089,1
4,5,0,B2HF,0.0062113132131224,1
5,6,1,B2HF,0.0195787236787091,1
6,7,0,B2HF,0.0036787941010677,1
7,8,0,B2HF,0.0063645258539081,1
8,9,0,B2HF,0.0073877108526071,1
9,10,1,B2HF,0.0028714277545521,1
10,11,1,B2HF,0.0016392033969509,1
11,12,0,B2HF,0.0035524721217762,1
12,13,0,B2HF,0.0073539115924393,1
13,14,0,B2HF,0.0054500344811169,1
14,15,1,B2HF,0.0011930033987199,1
15,16,1,B2HF,0.0065388816099545,1
16,17,0,B2HF,0.0097353793148847,1
17,20,1,B2HF,0.0077868045145987,1
18,23,0,B2HF,0.0117397498158948,1
19,24,0,B2HF,0.0033793000841693,1
20,26,1,B2HF,0.0179459651401071,1
21,28,0,B2HF,0.0047686994328486,1
22,30,1,B2HF,0.0016300734057704,1
23,31,0,B2HF,0.0097367313479062,1
24,32,1,B2HF,0.0046638511954017,1
25,33,0,B2HF,0.0057532877096575,1
26,34,1,B2HF,0.0084808322303079,1
27,0,0,B2LF,-0.003548772354668,1
28,1,0,B2LF,0.0062326832198796,1
29,2,1,B2LF,0.0032748806278471,1
30,4,0,B2LF,-0.0006750445117194,1
31,5,0,B2LF,0.000410834145451,1
32,6,1,B2LF,-0.0047041654251049,1
33,7,0,B2LF,0.0020592690606327,1
34,8,0,B2LF,0.000655223277241,1
35,9,0,B2LF,0.0010801871617678,1
36,10,1,B2LF,0.0017578533225475,1
37,11,1,B2LF,0.0010724692246727,1
38,12,0,B2LF,0.0044622945864904,1
39,13,0,B2LF,-0.0001559643302911,1
40,14,0,B2LF,0.0035532701273434,1
41,15,1,B2LF,0.0021192676872573,1
42,16,1,B2LF,0.0040114388452708,1
43,17,0,B2LF,0.0028440414082151,1
44,20,1,B2LF,0.0040126818790324,1
45,23,0,B2LF,0.0001602687738201,1
46,24,0,B2LF,0.0033132925620449,1
47,26,1,B2LF,-0.0001045558010305,1
48,28,0,B2LF,0.0040066310904247,1
49,30,1,B2LF,0.0016755931994859,1
50,31,0,B2LF,0.009875342955781,1
51,32,1,B2LF,0.0034579349998791,1
52,33,0,B2LF,0.0016756758576901,1
53,34,1,B2LF,0.0025329022057797,1
54,0,0,HF2B,0.5578941149692664,1
55,1,0,HF2B,8.393772360079927,1
56,2,1,HF2B,0.6197347584041896,1
57,4,0,HF2B,10.598989703399653,1
58,5,0,HF2B,0.8904962137252862,1
59,6,1,HF2B,0.364054716644378,1
60,7,0,HF2B,3.867600891752973,1
61,8,0,HF2B,0.8310196788706355,1
62,9,0,HF2B,0.9315992551079976,1
63,10,1,HF2B,6.217064758382904,1
64,11,1,HF2B,12.992174100547304,1
65,12,0,HF2B,3.35298145441538,1
66,13,0,HF2B,1.8639488328737968,1
67,14,0,HF2B,1.618924072144401,1
68,15,1,HF2B,57.151671861829406,1
69,16,1,HF2B,0.5972206944334151,1
70,17,0,HF2B,0.7832415745864242,1
71,20,1,HF2B,0.7676865324645769,1
72,23,0,HF2B,1.266279027414806,1
73,24,0,HF2B,1.850506509025038,1
74,26,1,HF2B,0.1110530645456495,1
75,28,0,HF2B,1.4849910062188618,1
76,30,1,HF2B,12.2617836820654,1
77,31,0,HF2B,0.7557520679997138,1
78,32,1,HF2B,1.1772285270186265,1
79,33,0,HF2B,0.6317000722332079,1
80,34,1,HF2B,0.6197181119129265,1
81,0,0,LF2B,0.4804345631607982,1
82,1,0,LF2B,0.514578812708981,1
83,2,1,LF2B,0.1768831344879844,1
84,4,0,LF2B,5.41121458332984,1
85,5,0,LF2B,0.8645976125105381,1
86,6,1,LF2B,0.4153366815859911,1
87,7,0,LF2B,1.5050079290878915,1
88,8,0,LF2B,0.6576574817220161,1
89,9,0,LF2B,0.70595570751882,1
90,10,1,LF2B,1.6140200704796333,1
91,11,1,LF2B,4.1012154938032905,1
92,12,0,LF2B,0.3045292156262976,1
93,13,0,LF2B,2.118931857799684,1
94,14,0,LF2B,0.6640932244481964,1
95,15,1,LF2B,3.413565866399616,1
96,16,1,LF2B,0.2957000956902458,1
97,17,0,LF2B,0.4454700920549387,1
98,20,1,LF2B,0.2321987775479329,1
99,23,0,LF2B,0.58048085984684,1
100,24,0,LF2B,0.5765412877271672,1
101,26,1,LF2B,0.1014193290865552,1
102,28,0,LF2B,0.3991382688213558,1
103,30,1,LF2B,1.810647968796161,1
104,31,0,LF2B,0.0762532569113161,1
105,32,1,LF2B,0.560429321653012,1
106,33,0,LF2B,0.8854607447012018,1
107,34,1,LF2B,0.4732197553887003,1
0,0,0,B2HF,0.0332056914424748,0
1,1,0,B2HF,0.0034928736843,0
2,2,1,B2HF,0.0217178608674425,0
3,4,0,B2HF,0.0041907140490513,0
4,5,0,B2HF,0.0071559927675042,0
5,6,1,B2HF,0.0227591327277568,0
6,7,0,B2HF,0.0042241754835888,0
7,8,0,B2HF,0.0145812493557869,0
8,9,0,B2HF,0.0067692975956572,0
9,10,1,B2HF,0.0023707901456799,0
10,11,1,B2HF,0.0015175547753029,0
11,12,0,B2HF,0.0060696363981116,0
12,13,0,B2HF,0.007305892903097,0
13,14,0,B2HF,0.0071709778077673,0
14,15,1,B2HF,0.0024496440803138,0
15,16,1,B2HF,0.0064468742004785,0
16,17,0,B2HF,0.0098038128348233,0
17,20,1,B2HF,0.0091668921714253,0
18,23,0,B2HF,0.0128752553479366,0
19,24,0,B2HF,0.0040898102487688,0
20,26,1,B2HF,0.0157296807664535,0
21,28,0,B2HF,0.0081179734277153,0
22,30,1,B2HF,0.0018973484854703,0
23,31,0,B2HF,0.0100429491159349,0
24,32,1,B2HF,0.0078266533284365,0
25,33,0,B2HF,0.0104552985001572,0
26,34,1,B2HF,0.0083268500305612,0
27,0,0,B2LF,-0.008588386022643,0
28,1,0,B2LF,0.0088726550795067,0
29,2,1,B2LF,-0.0005140167961559,0
30,4,0,B2LF,-0.0001724399277661,0
31,5,0,B2LF,0.0024910549241344,0
32,6,1,B2LF,-0.0028510584879218,0
33,7,0,B2LF,0.0028608081075371,0
34,8,0,B2LF,0.0010053314307387,0
35,9,0,B2LF,0.003360733890135,0
36,10,1,B2LF,0.0025760402996755,0
37,11,1,B2LF,0.0031811779443178,0
38,12,0,B2LF,0.0050425994302342,0
39,13,0,B2LF,0.0015625038602725,0
40,14,0,B2LF,0.0036346142979101,0
41,15,1,B2LF,0.0028711627715472,0
42,16,1,B2LF,0.0046391222143237,0
43,17,0,B2LF,0.0037921534707043,0
44,20,1,B2LF,0.0037414780183721,0
45,23,0,B2LF,0.0013043908739251,0
46,24,0,B2LF,0.0057961196064442,0
47,26,1,B2LF,0.000921300168211,0
48,28,0,B2LF,0.0073576558854478,0
49,30,1,B2LF,0.0009213950063429,0
50,31,0,B2LF,0.009597765862471,0
51,32,1,B2LF,0.0022173557234124,0
52,33,0,B2LF,0.0040854391661491,0
53,34,1,B2LF,0.0058145953866681,0
54,0,0,HF2B,0.317010720671697,0
55,1,0,HF2B,3.4124802107453536,0
56,2,1,HF2B,0.2022525237730542,0
57,4,0,HF2B,10.39735047603947,0
58,5,0,HF2B,0.3185701504744042,0
59,6,1,HF2B,0.1478339163870037,0
60,7,0,HF2B,1.5155777444078016,0
61,8,0,HF2B,0.2922314132880591,0
62,9,0,HF2B,0.6819705173219038,0
63,10,1,HF2B,4.607371149389276,0
64,11,1,HF2B,7.535444531807563,0
65,12,0,HF2B,1.1875490903472816,0
66,13,0,HF2B,0.8929294063962876,0
67,14,0,HF2B,0.9837871650279508,0
68,15,1,HF2B,8.329820095564154,0
69,16,1,HF2B,0.4968075330191192,0
70,17,0,HF2B,0.5526641466697483,0
71,20,1,HF2B,0.530523246213573,0
72,23,0,HF2B,0.5490287236608891,0
73,24,0,HF2B,0.8816048791969906,0
74,26,1,HF2B,0.0980939486450428,0
75,28,0,HF2B,0.6565790778453984,0
76,30,1,HF2B,5.080462823403868,0
77,31,0,HF2B,0.6709234765579277,0
78,32,1,HF2B,0.9161901265713333,0
79,33,0,HF2B,0.3876886779619778,0
80,34,1,HF2B,0.5513883800477302,0
81,0,0,LF2B,0.2363843888075647,0
82,1,0,LF2B,0.1808595221823944,0
83,2,1,LF2B,0.0934746608788652,0
84,4,0,LF2B,4.883769124963963,0
85,5,0,LF2B,0.27410096312673,0
86,6,1,LF2B,0.1793138815203776,0
87,7,0,LF2B,0.6211943917352353,0
88,8,0,LF2B,0.1004700429342833,0
89,9,0,LF2B,0.3563394084256197,0
90,10,1,LF2B,1.0700218883093204,0
91,11,1,LF2B,0.9884155251237836,0
92,12,0,LF2B,0.2255792290493198,0
93,13,0,LF2B,1.2760390533036603,0
94,14,0,LF2B,0.3506906550717986,0
95,15,1,LF2B,1.5439081912288677,0
96,16,1,LF2B,0.2355515140265643,0
97,17,0,LF2B,0.3771497251139853,0
98,20,1,LF2B,0.1542949778389855,0
99,23,0,LF2B,0.3561260483373821,0
100,24,0,LF2B,0.216183428365465,0
101,26,1,LF2B,0.0975966778194821,0
102,28,0,LF2B,0.0949563021979712,0
103,30,1,LF2B,2.550470056330569,0
104,31,0,LF2B,0.066665492989344,0
105,32,1,LF2B,0.4465514177509834,0
106,33,0,LF2B,0.0858176769128547,0
107,34,1,LF2B,0.2599154897532895,0
