condition,variable,group,value
0,central_alpha,0,0.13123988004352433
0,frontal_alpha,0,0.020820498535664447
0,occipital_alpha,0,0.23857515075153
0,parietal_alpha,0,0.11581675072945374
0,temporal_alpha,0,0.06990484258091732
1,central_alpha,0,0.01397624195496127
1,frontal_alpha,0,-0.06205234603769155
1,occipital_alpha,0,0.0006963923959748819
1,parietal_alpha,0,-0.061579727128396954
1,temporal_alpha,0,-0.08833015676321529
0,central_alpha,1,0.029997173791224355
0,frontal_alpha,1,-0.022522060088283034
0,occipital_alpha,1,-0.11559256787394427
0,parietal_alpha,1,-0.01896823259253102
0,temporal_alpha,1,0.0056894725927885215
1,central_alpha,1,-0.24122062397084765
1,frontal_alpha,1,0.08249565645486684
1,occipital_alpha,1,-0.23243876761334922
1,parietal_alpha,1,-0.05992198355445155
1,temporal_alpha,1,0.021110984399659402
